year,pacific_oyster,kumamoto_oyster,eastern_oyster,european_flat_oysters,olympia_oysters,abalone,clams,mussels
1971,94.01380596,0,4.84202928,0,0,0,0,0
1972,207.9236762,0,6.26396685,0,0,0,0,0
1973,169.3718044,0,0,0,0,0,0,0
1974,209.9603788,0,0,0,0,0,0,0
1975,179.7140218,0,0,0,0,0,0,0
1976,158.2839882,0,0,4.416011839,0,0,0,0
1977,148.1660961,0,0,0,0,0,0,0
1978,100.2693927,0,0,0,0,0,0,0
1979,140.7124884,0,0,0,0,0,0,0
1980,75.44542586,0,0,0,0,0,0,0
1981,155.3672948,0,0,0,0,0,0,0
1982,133.0312098,0,0,0,2.89556368,0,0,4.118993135
1983,118.8906742,0,0,0,0,0,0,6.738616455
1984,159.4792486,0,0,0,0,0,0,7.339973362
1985,173.881646,0,0,0,0,7.354051952,0,8.23798627
1986,134.6023804,0,0,0,0,23.9788553,0,152.402746
1987,187.4383224,0,0,0,0,0,0,12.33284468
1988,198.5390893,0,0,0,0,3.291574299,0,38.30301595
1989,189.4736842,0,0,0,0,0,0,37.07093822
1990,199.3600722,0,0,0,0,0,0,10.70857766
1991,197.6050754,10.40407787,0,0,0,0,0,4.118993135
1992,225.3374839,27.98059389,0,0,0,0,0,8.23798627
1993,233.4370978,1.345510941,0,0,0,0,2.059496568,35.01144165
1994,224.1302501,6.533365435,0,0,0,0,2.059496568,43.24942792
1995,158.4917361,6.267989309,0,0,0,0,4.118993135,115.3318078
1996,193.5926773,14.41647597,0,0,0,39.13043478,4.118993135,140.0457666
1997,189.4736842,12.35697941,0,0,0,115.3318078,10.29748284,156.5217391
1998,117.3913043,14.41647597,0,0,0,76.201373,10.29748284,92.67734554
1999,61.78489703,16.47597254,0,0,0,70.0228833,6.178489703,125.6292906
2000,67.96338673,20.59496568,0,0,0,164.7597254,8.23798627,113.2723112
2001,109.1533181,18.53546911,0,0,0,80.32036613,8.23798627,92.67734554
2002,170.9382151,20.59496568,0,0,0,94.73684211,12.35697941,2.059496568
2003,350.1144165,28.83295195,0,0,0,107.0938215,18.53546911,2.059496568
2004,255.3775744,16.47597254,0,0,0,129.7482838,12.35697941,4.118993135
2005,212.1281465,4.118993135,4.11899314,0,0,100.9153318,12.35697941,6.178489703
2006,391.3043478,35.01144165,0,0,0,88.5583524,14.41647597,8.23798627
2007,401.6018307,30.89244851,0,0,0,90.61784897,10.29748284,18.53546911
2008,405.7208238,53.54691076,0,0,0,80.32036613,6.178489703,20.59496568
2009,360.4118993,70.0228833,0,0,0,88.5583524,14.41647597,32.95194508
2010,541.6475973,76.201373,0,0,0,109.1533181,26.77345538,28.83295195
2011,560.1830664,86.49885584,0,0,0,121.5102975,20.59496568,30.89244851
2012,448.9702517,67.96338673,0,0,0,102.9748284,8.23798627,53.54691076
2013,589.0160183,70.0228833,0,0,0,94.73684211,16.47597254,41.18993135
2014,494.2791762,86.49885584,0,0,0,135.9267735,14.41647597,84.43935927
2015,385.1258581,111.2128146,0,0,0,10.29748284,4.118993135,76.201373
2016,360.4118993,109.1533181,0,0,0,8.23798627,6.178489703,59.72540046
2017,288.3295195,119.4508009,0,0,0,45.30892449,6.178489703,74.14187643
2018,284.2105263,129.7482838,0,0,0,0,0,496.3386728
