group,name,amount,unit
clam,Water,79,g
clam,Energy,86,kcal
clam,Protein,14.7,g
clam,Total lipid (fat),0.96,g
clam,Carbohydrate,3.57,g
clam,Fiber,0,g
clam,Sugars,0,g
clam,Calcium (Ca),39,mg
clam,Iron (Fe),1.62,mg
clam,Magnesium (Mg),19,mg
clam,Phosphorus (P),198,mg
clam,Potassium (K),46,mg
clam,Sodium (Na),56,mg
clam,Zinc (Zn),0.51,mg
clam,Copper (Cu),0.053,mg
clam,Selenium (Se),30.6,µg
clam,Vitamin C,0,mg
clam,Thiamin,0.015,mg
clam,Riboflavin,0.04,mg
clam,Niacin,0.35,mg
clam,Vitamin B-6,0.01,mg
clam,Folate,5,µg
clam,Folic acid,0,µg
clam,Choline,65,mg
clam,Vitamin B-12,11.3,µg
clam,"Vitamin A, RAE",90,µg
clam,Retinol,90,µg
clam,"Carotene, beta",0,µg
clam,"Carotene, alpha",0,µg
clam,"Cryptoxanthin, beta",0,µg
clam,Lycopene,0,µg
clam,Lutein + zeaxanthin,0,µg
clam,Vitamin E (alpha-tocopherol),0.68,mg
clam,Vitamin D (D2 + D3),0,µg
clam,Vitamin K (phylloquinone),0.2,µg
clam,"Fatty acids, total saturated",0.187,g
clam,SFA 4:0,0,g
clam,SFA 6:0,0,g
clam,SFA 8:0,0,g
clam,SFA 10:0,0,g
clam,SFA 12:0,0.004,g
clam,SFA 14:0,0.008,g
clam,SFA 16:0,0.11,g
clam,SFA 18:0,0.05,g
clam,"Fatty acids, total monounsaturated",0.12,g
clam,MUFA 16:1,0.02,g
clam,MUFA 18:1,0.06,g
clam,MUFA 20:1,0.007,g
clam,MUFA 22:1,0,g
clam,"Fatty acids, total polyunsaturated",0.192,g
clam,PUFA 18:2,0.042,g
clam,PUFA 18:3,0.015,g
clam,PUFA 18:4,0.001,g
clam,PUFA 20:4,0.011,g
clam,PUFA 2:5 n-3 (EPA),0.043,g
clam,PUFA 22:5 n-3 (DPA),0.007,g
clam,PUFA 22:6 n-3 (DHA),0.064,g
clam,Cholesterol,30,mg
clam,"Alcohol, ethyl",0,g
clam,Caffeine,0,mg
clam,Theobromine,0,mg
mussel,Water,80.6,g
mussel,Energy,86,kcal
mussel,Protein,11.9,g
mussel,Total lipid (fat),2.24,g
mussel,Carbohydrate,3.69,g
mussel,Fiber,0,g
mussel,Sugars,0,g
mussel,Calcium (Ca),26,mg
mussel,Iron (Fe),3.95,mg
mussel,Magnesium (Mg),34,mg
mussel,Phosphorus (P),197,mg
mussel,Potassium (K),320,mg
mussel,Sodium (Na),286,mg
mussel,Zinc (Zn),1.6,mg
mussel,Copper (Cu),0.094,mg
mussel,Selenium (Se),44.8,µg
mussel,"Vitamin C, total ascorbic acid",8,mg
mussel,Thiamin,0.16,mg
mussel,Riboflavin,0.21,mg
mussel,Niacin,1.6,mg
mussel,Vitamin B-6,0.05,mg
mussel,"Folate, total",42,µg
mussel,Folic acid,0,µg
mussel,"Folate, food",42,µg
mussel,"Folate, DFE",42,µg
mussel,"Choline, total",65,mg
mussel,Vitamin B-12,12,µg
mussel,"Vitamin B-12, added",0,µg
mussel,"Vitamin A, RAE",48,µg
mussel,Retinol,48,µg
mussel,"Carotene, beta",0,µg
mussel,"Carotene, alpha",0,µg
mussel,"Cryptoxanthin, beta",0,µg
mussel,Lycopene,0,µg
mussel,Lutein + zeaxanthin,0,µg
mussel,Vitamin E (alpha-tocopherol),0.55,mg
